expected_surface_confound,label,max_cosine,mean_cosine,min_cosine,model_id,n_pairs,n_variant_directions,status,std_cosine,trait_id
medium,unstable,0.9259730999333187,0.6247876869622986,0.25205064856526055,qwen2_5_7b_instruct,45,10,completed,0.16025945038218117,sycophancy
medium,,,,,qwen2_5_7b_instruct,,0,missing,,evil
high,moderate,0.9362975173119025,0.8729042849962737,0.7542581482473463,qwen2_5_7b_instruct,45,10,completed,0.03950552850422049,hallucination
medium,,,,,qwen2_5_7b_instruct,,0,missing,,refusal
high,high,0.984407658305983,0.94990672457149,0.8934495473453251,qwen2_5_7b_instruct,45,10,completed,0.023314065533858713,toxicity
low,,,,,qwen2_5_7b_instruct,,0,missing,,power_seeking
high,moderate,0.9715797725136912,0.7911270685754661,0.3646188303852558,qwen2_5_7b_instruct,45,10,completed,0.13313428737358465,dramatic
high,high,0.9874487689695232,0.9452747202042235,0.822032402762436,qwen2_5_7b_instruct,45,10,completed,0.03062814019196174,formality
high,high,0.9730564793684224,0.9071863945798107,0.7271296400152217,qwen2_5_7b_instruct,45,10,completed,0.06545545786182777,verbosity
medium,unstable,0.9195532963759425,0.5743864562267988,0.13884470579031807,llama_3_1_8b_instruct,45,10,completed,0.21820348756250962,sycophancy
medium,,,,,llama_3_1_8b_instruct,,0,missing,,evil
high,moderate,0.9318251719839971,0.8794063930750612,0.7477482660107304,llama_3_1_8b_instruct,45,10,completed,0.03581694869284177,hallucination
medium,,,,,llama_3_1_8b_instruct,,0,missing,,refusal
high,high,0.9741416085513585,0.9137428524212429,0.7926806506161715,llama_3_1_8b_instruct,45,10,completed,0.046691088326767084,toxicity
low,,,,,llama_3_1_8b_instruct,,0,missing,,power_seeking
high,moderate,0.969961514957348,0.7951087928813975,0.374082843482001,llama_3_1_8b_instruct,45,10,completed,0.1294290352165545,dramatic
high,high,0.9869767753953869,0.945939429023464,0.8252910449143187,llama_3_1_8b_instruct,45,10,completed,0.029652450080644755,formality
high,high,0.9771548874399938,0.9065282441675774,0.7079183565040196,llama_3_1_8b_instruct,45,10,completed,0.06950537765448295,verbosity
