basis_rank,cosine_with_mean_surface,expected_surface_confound,model_id,n_surface_directions,overlap_fraction,overlap_minus_random_mean,projection_norm,random_baseline_mean,random_baseline_n,random_baseline_std,status,trait_id
5,-0.24451704357497395,medium,qwen2_5_7b_instruct,90,0.48506935509890425,0.4838609865187122,0.6964692061382931,0.0012083685801920914,100,0.0007416032625514096,completed,sycophancy
,,medium,qwen2_5_7b_instruct,0,,,,,,,missing,evil
5,0.2150810731202038,high,qwen2_5_7b_instruct,90,0.4976668226209337,0.4963192238906442,0.7054550464919318,0.001347598730289482,100,0.0008206542707478968,completed,hallucination
,,medium,qwen2_5_7b_instruct,0,,,,,,,missing,refusal
5,0.22418003864655023,high,qwen2_5_7b_instruct,90,0.3545414506339085,0.35322428847464094,0.5954338339680644,0.0013171621592675802,100,0.0007556704848936301,completed,toxicity
,,low,qwen2_5_7b_instruct,0,,,,,,,missing,power_seeking
5,0.05325539610357891,high,qwen2_5_7b_instruct,90,0.553771711450314,0.5523083722145316,0.7441583913726393,0.0014633392357824811,100,0.0009425666027986447,completed,dramatic
5,-0.04274403219366588,high,qwen2_5_7b_instruct,90,0.8265028538997131,0.8250682901537287,0.9091220236578328,0.0014345637459843574,100,0.0008960671734784977,completed,formality
5,0.11357557857159041,high,qwen2_5_7b_instruct,90,0.3305009532357889,0.3292375955375046,0.574892123129017,0.001263357698284308,100,0.0007308302236084631,completed,verbosity
5,0.09617592827273666,medium,llama_3_1_8b_instruct,90,0.49843528118223596,0.4972631927942978,0.70599949092208,0.0011720883879381581,100,0.0006217940595738821,completed,sycophancy
,,medium,llama_3_1_8b_instruct,0,,,,,,,missing,evil
5,-0.031202196030212997,high,llama_3_1_8b_instruct,90,0.1091161657126663,0.10786178303830958,0.33032736143508656,0.001254382674356719,100,0.0007719443928072581,completed,hallucination
,,medium,llama_3_1_8b_instruct,0,,,,,,,missing,refusal
5,0.14337590758476837,high,llama_3_1_8b_instruct,90,0.45933102303961193,0.45815329594672566,0.6777396425173992,0.0011777270928862728,100,0.000623347834983767,completed,toxicity
,,low,llama_3_1_8b_instruct,0,,,,,,,missing,power_seeking
5,-0.14753092978112983,high,llama_3_1_8b_instruct,90,0.18304286543345072,0.18184465874953468,0.42783509140023884,0.0011982066839160484,100,0.0007159100777406052,completed,dramatic
5,-0.15731722028192702,high,llama_3_1_8b_instruct,90,0.7732450567555796,0.7717852775888879,0.8793435373934239,0.0014597791666916668,100,0.0008390230944929174,completed,formality
5,0.18608834955600345,high,llama_3_1_8b_instruct,90,0.33487374273076803,0.33371874565957105,0.5786827651924394,0.0011549970711969854,100,0.0006200883670705635,completed,verbosity
