model_id,trait_id,direction_type,auroc,accuracy,n_pos,n_neg
qwen2_5_7b_instruct,sycophancy,standard,0.9512354770086728,0.9,63,97
qwen2_5_7b_instruct,sycophancy,averaged,0.9441989854360988,0.9,63,97
qwen2_5_7b_instruct,sycophancy,subtracted,0.8507609229258714,0.81875,63,97
qwen2_5_7b_instruct,sycophancy,single_variant,0.7903780068728522,0.78125,63,97
qwen2_5_7b_instruct,hallucination,standard,0.8378472222222222,0.7962962962962963,48,60
qwen2_5_7b_instruct,hallucination,averaged,0.8434027777777777,0.7962962962962963,48,60
qwen2_5_7b_instruct,hallucination,subtracted,0.8531249999999999,0.8148148148148148,48,60
qwen2_5_7b_instruct,hallucination,single_variant,0.8111111111111111,0.75,48,60
qwen2_5_7b_instruct,toxicity,standard,0.9996666666666666,0.9947368421052631,90,100
qwen2_5_7b_instruct,toxicity,averaged,0.9996666666666666,0.9947368421052631,90,100
qwen2_5_7b_instruct,toxicity,subtracted,0.994,0.968421052631579,90,100
qwen2_5_7b_instruct,toxicity,single_variant,0.9996666666666666,0.9947368421052631,90,100
qwen2_5_7b_instruct,dramatic,standard,0.9983870967741936,0.9844559585492227,100,93
qwen2_5_7b_instruct,dramatic,averaged,0.998494623655914,0.9844559585492227,100,93
qwen2_5_7b_instruct,dramatic,subtracted,0.9823655913978494,0.9585492227979274,100,93
qwen2_5_7b_instruct,dramatic,single_variant,0.9993548387096775,0.9896373056994818,100,93
qwen2_5_7b_instruct,formality,standard,0.993006993006993,0.9947368421052631,99,91
qwen2_5_7b_instruct,formality,averaged,0.9927849927849928,0.9947368421052631,99,91
qwen2_5_7b_instruct,formality,subtracted,0.9695859695859695,0.9421052631578948,99,91
qwen2_5_7b_instruct,formality,single_variant,0.9932289932289933,0.9947368421052631,99,91
qwen2_5_7b_instruct,verbosity,standard,0.985908467389949,0.9555555555555556,99,81
qwen2_5_7b_instruct,verbosity,averaged,0.9894001745853599,0.9611111111111111,99,81
qwen2_5_7b_instruct,verbosity,subtracted,0.9879037286444694,0.9555555555555556,99,81
qwen2_5_7b_instruct,verbosity,single_variant,0.9874049133308392,0.9611111111111111,99,81
llama_3_1_8b_instruct,sycophancy,standard,0.958204334365325,0.9202453987730062,68,95
llama_3_1_8b_instruct,sycophancy,averaged,0.9554179566563468,0.901840490797546,68,95
llama_3_1_8b_instruct,sycophancy,subtracted,0.874922600619195,0.8466257668711656,68,95
llama_3_1_8b_instruct,sycophancy,single_variant,0.9458204334365325,0.9202453987730062,68,95
llama_3_1_8b_instruct,hallucination,standard,0.8727598566308244,0.8504672897196262,45,62
llama_3_1_8b_instruct,hallucination,averaged,0.8630824372759857,0.8317757009345794,45,62
llama_3_1_8b_instruct,hallucination,subtracted,0.8670250896057348,0.8037383177570093,45,62
llama_3_1_8b_instruct,hallucination,single_variant,0.853763440860215,0.8317757009345794,45,62
llama_3_1_8b_instruct,toxicity,standard,0.9996428571428572,0.9935897435897436,56,100
llama_3_1_8b_instruct,toxicity,averaged,0.9998214285714285,0.9935897435897436,56,100
llama_3_1_8b_instruct,toxicity,subtracted,0.9969642857142856,0.9807692307692307,56,100
llama_3_1_8b_instruct,toxicity,single_variant,0.9998214285714285,0.9935897435897436,56,100
llama_3_1_8b_instruct,dramatic,standard,0.9985421222534625,0.9795918367346939,97,99
llama_3_1_8b_instruct,dramatic,averaged,0.9987503905029679,0.9795918367346939,97,99
llama_3_1_8b_instruct,dramatic,subtracted,0.9961470373841508,0.9642857142857143,97,99
llama_3_1_8b_instruct,dramatic,single_variant,0.9968759762574196,0.9693877551020408,97,99
llama_3_1_8b_instruct,formality,standard,1.0,1.0,95,83
llama_3_1_8b_instruct,formality,averaged,1.0,1.0,95,83
llama_3_1_8b_instruct,formality,subtracted,0.8355104629042486,0.7921348314606742,95,83
llama_3_1_8b_instruct,formality,single_variant,0.9998731769181991,0.9943820224719101,95,83
llama_3_1_8b_instruct,verbosity,standard,0.926875,0.9545454545454546,100,32
llama_3_1_8b_instruct,verbosity,averaged,0.92125,0.946969696969697,100,32
llama_3_1_8b_instruct,verbosity,subtracted,0.9421875,0.9318181818181818,100,32
llama_3_1_8b_instruct,verbosity,single_variant,0.940625,0.9545454545454546,100,32
