model_id,trait_id,direction_type,alpha,trait_score_mean,trait_score_std,coherence_score_mean,coherence_score_std,n_responses,mean_cross_trait_leakage
qwen2_5_7b_instruct,sycophancy,standard,0.0,12.372216713244566,14.053396935640054,72.874128024714,12.298900844641627,200,43.16570812630689
qwen2_5_7b_instruct,sycophancy,standard,0.5,14.10040253268584,15.603409649775388,73.09661097441386,11.136608579662411,200,43.03998606157754
qwen2_5_7b_instruct,sycophancy,standard,1.0,11.92518962903987,14.09595885518465,73.11077656763736,11.492522568090342,200,42.78801109653195
qwen2_5_7b_instruct,sycophancy,standard,1.5,13.073566075139288,16.339344825099438,72.87666399619319,11.756909920050129,200,43.070793648948765
qwen2_5_7b_instruct,sycophancy,standard,2.0,12.278915327955882,15.072266773656388,72.58754141993676,11.500495713554589,200,42.92485528568351
qwen2_5_7b_instruct,sycophancy,standard,2.5,13.60441251412505,15.829245778608765,72.80510562465375,11.123589631230347,200,43.44920363527918
qwen2_5_7b_instruct,sycophancy,averaged,0.0,12.778250010391242,15.781242488481082,72.47124144219781,12.319687927043738,200,43.18068320641754
qwen2_5_7b_instruct,sycophancy,averaged,0.5,12.469566421825066,13.937133237084948,72.82286555941309,12.018998847652439,200,42.383565323993494
qwen2_5_7b_instruct,sycophancy,averaged,1.0,13.092094297698779,15.74061212542216,73.32902677610303,11.85706347448818,200,42.16306878682827
qwen2_5_7b_instruct,sycophancy,averaged,1.5,13.62557744508744,15.451478457746182,73.53624007069959,10.923676953617646,200,42.375728532990735
qwen2_5_7b_instruct,sycophancy,averaged,2.0,12.667449233528373,14.783136000040075,72.83388179591775,11.713555348640236,200,42.85916272300187
qwen2_5_7b_instruct,sycophancy,averaged,2.5,12.231242724018294,13.5824175456568,72.5054579874019,11.834020547033967,200,42.14748308270505
qwen2_5_7b_instruct,sycophancy,subtracted,0.0,11.736661306176442,14.288491451198405,72.78510217696748,11.69396304688801,200,42.76583514887039
qwen2_5_7b_instruct,sycophancy,subtracted,0.5,12.684186434607668,15.757686617277749,73.52620377135423,10.33226909995848,200,42.92276387296202
qwen2_5_7b_instruct,sycophancy,subtracted,1.0,12.651008905786352,14.55690132351855,72.94333986512218,12.145008184622164,200,42.09288693660422
qwen2_5_7b_instruct,sycophancy,subtracted,1.5,12.661616717667973,14.259194347608085,72.3595517442697,11.80350296177646,200,43.84196305998735
qwen2_5_7b_instruct,sycophancy,subtracted,2.0,14.560984513988721,18.187669630140736,73.48651555930036,11.393469050567056,200,42.05850575564675
qwen2_5_7b_instruct,sycophancy,subtracted,2.5,12.130234027441748,15.012397860630584,72.81552012586607,11.996345123831912,200,41.97045207939611
qwen2_5_7b_instruct,sycophancy,single_variant,0.0,12.960495102748853,14.362403151630714,73.58210987121183,10.823744506478002,200,42.618683579767904
qwen2_5_7b_instruct,sycophancy,single_variant,0.5,12.684560713407517,13.765645615735218,72.60425194356645,11.513588942752838,200,43.08571484263172
qwen2_5_7b_instruct,sycophancy,single_variant,1.0,11.746977835162893,12.866309479330361,73.50089419616727,9.841349685675718,200,42.685763291516786
qwen2_5_7b_instruct,sycophancy,single_variant,1.5,12.649108350131344,14.000783511655454,72.27175993588563,11.440143068710343,200,42.490544709519874
qwen2_5_7b_instruct,sycophancy,single_variant,2.0,12.79773467063208,15.09423719194327,73.15551012240326,11.517125491704629,200,42.56541474263972
qwen2_5_7b_instruct,sycophancy,single_variant,2.5,12.39520009986667,14.494239308202221,72.72521141840592,11.681021641901115,200,42.35465395228087
